,title,lyrics
11,The Amphitrite,"
Come all ye jolly sailors brave
That wear the jackets blue,
While I relate the dangers great
And hardships of the sea;
It's of a ship called the Amphitrite,
With a hundred and eight females,
With cargo and crew and passengers too,
Bound out for New South Wales.
2. It was on the eighteenth day of June,
From the city we set sail,
Leaving our friends behind us,
It grieved our hearts full sore.
And as we bore along the shore,
Till our friends got out of sight,
Saying, ""Adieu unto you blue-eyed girls
On board of the Amphitrite.""

3. About twelve o'clock on the third day,
We were all put to a stand,
When our goodly ship she ran aground,
All on a bank of sand;
And the children around their parents flocked
And tore their hair with fright,
For to think they must end their days
On board of the Amphitrite.

4. When our captain found he was aground,
Both anchors he let go,
Saying, ""Go reef your fore and main-top sails,
Or soon our fate we'll know!""
When our ship she gave one dreadful reel,
And soon went out of sight
And the shriek and cries would reach the skies,
On board of the Amphitrite.

5. All that reached the shore out of our crew
Were two poor lads and me;
We reached the shore all on a spar,
We swam the briny sea.
One was exhausted by the waves,
He died that very night;
That left only two out of our crew
On board of the Amphitrite.

6. Now the Amphitrite is lost and gone,
Both passengers and crew,
Besides thirty-five as brave sailor lads,
As ever wore jackets blue.
God grant relief to those poor souls,
And to those lamenting quite;
God grant relief to those poor souls
On board of the Amphitrite.
"
12,Anchors Aweigh,"
Stand Navy down the field,
Sails set to the sky.
We'll never change our course,
So Army you steer shy-y-y-y.
Roll up the score, Navy,
Anchors Aweigh.
Sail Navy down the field
And sink the Army, sink the Army Grey.

2. Get underway, Navy,
Decks cleared for the fray,
We'll hoist true Navy Blue
So Army down your Grey-y-y-y.
Full speed ahead, Navy;
Army heave to,
Furl Black and Grey and Gold
And hoist the Navy, hoist the Navy Blue

3. Blue of the Seven Seas;
Gold of God's great sun
Let these our colors be Till
All of time be done-n-n-ne,
By Severn shore we learn
Navy's stern call:
Faith, courage, service true
With honor over, honor over all.

Stand, Navy, out to sea,
Fight our battle cry;
We'll never change our course,
So vicious foe steer shy-y-y-y.
Roll out the TNT, Anchors Aweigh.
Sail on to victory
And sink their bones
To Davy Jones, hooray!

2. Anchors Aweigh, my boys,
Anchors Aweigh.
Farewell to college joys,
We sail at break of day-ay-ay-ay.
Through our last night on shore,
Drink to the foam,
Until we meet once more.
Here's wishing you a happy voyage home.
"
13,Andrew Rose,"
Andrew Rose, the British sailor
Now to you his woes I'll name
'Twas on the passage from Barbados
Whilst on board the Mary Jane.
Chorus:
Wasn't that most cruel usage
Without a friend to interpose?
How they've whipped and mangled,
Gagged and strangled
The British sailor, Andrew Rose.

2. 'Twas on the quarter-deck they laid him,
Gagged him with an iron bar;
Wasn't that most cruel usage
To put upon a British tar?
Chorus:

3. 'Twas up aloft the Captain sent him
Naked beneath the burning sun,
Whilst the mate did follow after,
Lashing him till the blood did run.
Chorus:

4. The captain gave him stuff to swallow;
Stuff to you I will not name,
Whilst the crew got sick with horror,
While on board the Mary Jane.
Chorus:

5. 'Twas in a water-cask they put him;
Seven long days they kept him there.
When loud for mercy Rose did venture,
The Captain swore no man should go there.
Chorus:

6. For twenty days they did ill-use him,
When into Liverpool they arrived.
The Judge he heard young Andrew's story;
""Captain Rodgers, you must die.""
Chorus:

7. Come all ye friends and near relations,
And all ye friends to interpose;
Never treat a British sailor
Like they did young Andrew Rose.
Chorus:
"
14,"Another of Seafarers, describing Evil Fortune","
What pen can well report the plight
Of those that travel on the seas?
To pass the weary winter's night,
With stormy clouds, wishing for day;
With waves that toss them to and fro,
Their poor estate is hard to show.

2. When boistering winds begin to blow
On cruel coasts, from haven we;
The foggy mist so dims the shore
That rocks and sands we may not see;
Nor have no room on seas to try,
But pray to God and yield to die.

3. When shoals and sandy banks appear
What pilot can direct his course?
When foaming tides draw us so near,
Alas! what fortune can be worse?
Then anchors hold must be our stay,
Or else we fall into decay.

4. We wander still from luff to lee,
And find no steadfast wind to blow;
We still remain in jeopardy,
Each perilous point is hard to show;
In time we hope to find redress,
That long have lived in heaviness.

5. O pinching, weary, loathsome life,
That travel still in far exile.
The dangers great on seas be rife,
Whose recompense doth yield but toil.
O Fortune, grant me my desire:
A happy end I do require.

6. When frets and spates have had their fill
And gentle calm the coast will clear,
Then haughty hearts shall have their will,
That long have wept with morning cheer;
And leave the seas with their annoy,
At home at ease to live in joy.
"
15,Around Cape Horn,"
Around Cape Horn we've got to go,
To me way, hay, o-hio!
Around Cape Horn to Calleao
A long time ago!

2. 'Round Cape Horn where the stiff winds blow,
To me way, hay, o-hio!
'Round Cape Horn where there's sleet and snow.
A long time ago!

3. I wish to God I'd never been born
To me way, hay, o-hio!
To drag my carcass around Cape Horn.
A long time ago!
"
16,The Arranmore Boat Song,"
With swelling sail, away, away!
Our bark goes bounding o'er the bay!
Farewell, farewell, old Arranmore!
She courtseys, courtseys to the shore.
Chorus:
Farewell, fond wives and children dear!
From ev'ry ill heav'n keep you clear;
Till through the surge we stagger back,
As full of fish as we can pack

2. For when we've sowed and gardened here,
Far off to other fields we'll steer;
Our farm upon the distant deep
Where all at once you till and reap.
Chorus:

3. There, there the reeling ridge we plough,
Our coulter keen the cutter's prow;
While fresh and fresh from out the trawl
The fish by hundreds in we haul.
Chorus:

4. Thou glorious sun, gleam on above
O'er Ara, Ara of our love.
Ye ocean airs, preserve her peace,
Ye night dews, yield her rich increase.
Chorus:

5. Until, one glitt'ring realm of grain,
She waves her wand'rers home again;
And we come heaping from our hold
A silver crop, beside the gold.
Chorus:
"
17,Auf einem Seemannsgrab,"
Ob Sturm uns bedroht hoch vom Norden,
Ob Heimweh im Herzen uns brennt;
Wir sind Kameraden geworden,
Und wenn es zur Hölle auch geht.
Matrosen die wissen zu sterben,
Wie immer das Schicksal auch spielt,
Und geht uns're Trommel in Scherben,
Dann singt uns der Nordwind ein Lied:
Refrain:
Auf einem Seemannsgrab, da blühen keine Rosen,
Auf einem Seemannsgrab, da blüht kein Blümelein,
: Der einz'ge Gruß, das sind die weißen Möwen
Und eine Träne die ein kleines Mädel weint. :

So manchen von uns sah'n wir sterben,
Doch keiner von uns hat geweint,
Scharfe Klippensie brachten Verderben,
Der Kahn ging zum Teufel derweil.
Es schlugen die eiskalten Wogen
Nach dem, den wir alle so geliebt;
Und als ihn der Tod von uns trennte,
Da sangen wir leis' dieses Lied:
Refrain:
"
18,"Away, Rio!","
The anchor is weighed and the sails they are set,
Away, Rio!
The maids we are leaving we'll never forget,

Chorus:
For we're bound for the Rio Grande,
And away, Rio! Aye, Rio!
We're bound away this very day,
For we're bound for the Rio Grande!

2. So it's pack up your donkey and get under way,
Away, Rio!
The girls we are leaving can take our half pay.
Chorus:

3. We've a jolly good ship and a jolly good crew,
Away, Rio!
A jolly good mate and a good skipper, too.
Chorus:

4. We'll sing as we heave to the maidens we leave,
Away, Rio!
And you who are listening, goodbye to you.
Chorus:

5. Sing good bye to Nellie and good bye to Sue
Away, Rio!
And you who are listening, good bye to you
Chorus:

6. And good-bye, fare you well, all you ladies of town
Away, Rio!
We've left you enough for to buy a silk gown
Chorus:

7. Now you Bowery ladies we'd have you to know
Away, Rio!
We're bound to the south'ard, O Lord, let us go!
Chorus:

8. Heave with a will and heave long and strong,
Away, Rio!
Sing the good chorus, for 'tis a good song.
Chorus:

9. Heave only one pawl, then 'vast heavin', belay!
Away, Rio!
Heave steady, because we say farewell today.
Chorus:

10. We'll sell our salt cod for molasses and rum
Away, Rio!
And get home again 'fore Thanksgiving has come
Chorus:

11. The chain's up and down, now the bosun did say,
Away, Rio!
Heave up to the hawsepipe, the anchor's aweigh.
Chorus:

12. Our good ship's a-going out over the bar
Away, Rio!
And we'll point her nose for the South-er-on Star
Chorus:

13. O say was you ever in Rio Grande?
Away, Rio!
O was you ever on that strand?
Chorus:
"
19,The Balena,"
On the noble fleet of whalers out sailing from Dundee,
Well manned by British sailors to work them on the sea;
On the western ocean passage none with them can compare
For there's not a ship could make the trip as the ""Balena"" I declare.
Refrain:
And the wind is on her quarter and her engine working free
And there's not another whaler a-sailing from Dundee
Can beat the aul' ""Balena"" and you needna try her on
For we challenge all both large and small from Dundee to St.Johns.

2. There's the new built ""Terra Nova"", she's a model with no doubt
There's the ""Arctic"" and ""Aurora"", you've heard so much about
There's Jacklin's model mail-boat, the terror of the sea
Couldn't beat the aul ""Balena"" boys, on a passage from Dundee.
Refrain:

3. And it happened on the Thursday four days after we left Dundee
Was carried off the quarter boats all in a raging sea
That took away our bulwark, our stanchions and our rails
And left the whole concern boys, a-floating in the gales.
Refrain:

4. Bold Jacklin carries canvas and fairly raises steam
And Captain Guy's a daring boy, goes ploughing through the stream
But Millan says the ""Eskimo"" could beat the bloomin' lot
But to beat the aul' ""Balena"" boys, they'd find it rather hot.
Refrain:

5. An' now that we've landed boys, where the rum is mighty cheap
We'll drink success to the Capt'n, for gettin' us o'er the deep
And a health to all our sweathearts, an' to our wives so fair
Not another ship could make that trip but the ""Balena"" I declare.
Refrain:
"
20,The Ballad of Captain Kidd,"
My name was William Kidd,
When I sailed, when I sailed,
My name was William Kidd,
When I sailed,
My name was William Kidd;
God's laws I did forbid,
And so wickedly I did,
When I sailed.
2. My parents taught me well,
When I sailed, when I sailed,
My parents taught me well,
When I sailed,
My parents taught me well,
To shun the gates of hell,
But against them I rebelled,
When I sailed.
3. I'd a Bible in my hand,
When I sailed, when I sailed,
I'd a Bible in my hand,
When I sailed,
I'd a Bible in my hand,
By my father's great command,
And I sunk it in the sand,
When I sailed.
4. I murdered William Moore,
As I sailed, as I sailed
I murdered William Moore,
As I sailed,
I murdered William Moore,
And laid him in his gore,
Not many leagues from shore,
As I sailed.
5. I was sick and nigh to death,
As I sailed, as I sailed
I was sick and nigh to death,
As I sailed,
I was sick and nigh to death,
And I vowed with every breath,
To walk in wisdom's ways,
When I sailed.
6. I thought I was undone,
As I sailed, as I sailed
I thought I was undone,
As I sailed,
I thought I was undone,
And my wicked glass had run,
But health did soon return,
As I sailed.
7. My repentance lasted not,
As I sailed, as I sailed
My repentance lasted not,
As I sailed,
My repentance lasted not,
My vows I soon forgot,
Damnation was my lot,
As I sailed.
8. I spied three ships from France,
As I sailed, as I sailed
I spied three ships from France,
As I sailed,
I spied three ships from France,
To them I did advance,
And took them all by chance,
As I sailed.
9. I spied three ships from Spain,
As I sailed, as I sailed
I spied three ships from Spain,
As I sailed,
I spied three ships from Spain,
I looted them for gain,
Till most of them were slain,
As I sailed.
10. I'd ninety bars of gold,
As I sailed, as I sailed
I'd ninety bars of gold,
As I sailed,
I'd ninety bars of gold,
And dollars manifold,
With riches uncontrolled,
As I sailed.
11. Thus being o'ertaken at last,
As I sailed, as I sailed
Thus being o'ertaken at last,
As I sailed,
Thus being o'ertaken at last,
And into prison cast,
And sentence being passed,
As I sailed.

12. Farewell, the raging main,
I must die, I must die,
Farewell, the raging main,
I must die,
Farewell, the raging main,
To Turkey, France, and Spain,
I shall never see you again,
For I must die.

13. To the Execution Dock,
I must go, I must go,
To the Execution Dock,
I must go,
To the Execution Dock,
While many thousands flock,
But I must bear the shock,
And must die.

14. Come all ye young and old,
And see me die, see me die,
Come all ye young and old,
And see me die,
Come all ye young and old,
You're welcome to my gold,
For by it I've lost my soul,
And must die.

15. Take a warning now by me,
For I must die, I must die,
Take a warning now by me,
For I must die,
Take a warning now by me,
And shun bad company,
Let you come to hell with me,
For I must die.
"
21,Baltimore Shanty,"
And he kissed her on the face,
And the crew began to roar.
Oh, oh, up she goes, we're bound for Baltimore.
And he kissed her on the nose,
And the crew began to roar,
Oh, oh, up she goes, we're bound for Baltimore.
Chorus:
No more, no more, we go to sea no more,
As soon we reach the town tonight
We're leaving for the shore.

2. And he kissed her on the lips,
And the crew began to roar.
Oh, oh, up she goes, we're bound for Baltimore.
And he kissed her on the neck,
And the crew began to roar,
Oh, oh, up she goes, we're bound for Baltimore.
Chorus:

3. And he kissed her on the bosom,
And the crew began to roar.
Oh, oh, up she goes, we're bound for Baltimore.
And he kissed her on the mmmmmmmmmmmm,
hm hm hm hm hm hm hm,
Oh, oh, up she goes, we're bound for Baltimore.
Chorus x 2
"
22,The Banks of Brandywine,"
One morning very early,
In the pleasant month of May
As I walked out to take the air,
All nature being gay;
The moon had not yet veiled her face,
But through the trees did shine
As I wandered forth to take the air
On the banks of Brandywine.
2. At such an early hour
I was surprised to see
A lovely maid with downcast eyes
Upon those banks so gay
I modestly saluted her,
She knew not my design
And requested her sweet company
On the banks of Brandywine.
3. ""I pray, young man, be civil,
My company forsake
For in my real opinion
I think you are a rake,
My love's a valiant sailor,
He's now gone to the Main
While comfortless I wander
On he banks of Brandywine.

4. ""My dear, why do you thus
Give up to melancholy cries?
I pray give up your weeping,
And dry those lovely eyes,
For sailors in each port, my dear,
They do a mistress find
He will leave you to wander
On the banks of Brandywine.""

5. ""O leave me, sir, do leave me!
Why do you me torment?
My Henry's wont to see me,
Therefore I am content.
Why do you thus torment me,
And cruelly combine
To fill my heart with horror
On the banks of Brandywine?""

6. ""I wish not to afflict your mind,
But rather for to ease
Such dreadful apprehensions,
They soon your heart will seize.
Your love, my dear, in wedlock bands,
Another one has joined.""
She swooned into my arms
On the banks of Brandywine.

7. The lofty hills and craggy rocks
Reechoed back her strains;
The pleasant groves and rural shades
Were witness to her pains.
""How often has he promised me
In Hymen's chains to join!
Now I'm a maid forsaken
On the banks of Brandywine.""

8. ""O no, my dear, that ne'er shall be.
Behold your Henry now!
I clasp you to my bosom, love,
I've not forgot our vow.
It's now I know you're true, my dear,
In Hymen's chains we'll join
And bless the happy morn we met
On the banks of Brandywine.""
"
23,The Banks of Newfoundland,"
You bully boys of Liverpool
I'll have you all beware
When you sail on them packet ships,
No dungaree jumpers wear
But have a big monkey jacket
All ready to your hand
For there blows some cold nor'westers
Off the banks of Newfoundland

Chorus:
We'll scrape her and we'll scrub her
With holy stone and sand
For there blows some cold nor'westers
On the banks of Newfoundland

2. We had Jack Lynch from Malnahinch,
Mike Murphy and some more
I tell you well, they suffered like hell
On the way to Baltimore
They pawned there gear in Liverpool
And sailed as they did stand
For there blow some cold nor'westers
On the banks of Newfoundland
Chorus:

3. Now the mate he stood on the fo'c'sle head
And loudly he did roar
Come rattle her in me lucky lads,
You're bound for America's shore
Come wipe the blood off that dead man's face
And haul or you'll be damned
For there blow some cold nor'westers
On the banks of Newfoundland
Chorus:

4. So now we're off the hook me boys,
And the land is white with snow
And soon we'll see the pay table
And we'll spend the whole night below
And on the docks, come down in flocks,
Those pretty girls will say
Ah, It's snugger with me than on the sea,
On the banks of Newfoundland
Chorus:
"
24,The Banks of Sweet Loch Ray,"
I am as poor a distressed maid
As ever yet was known.
By love I'm captivated
Which is proved my overthrow.
When herding out my father's flocks
By accidence did stray
It was there I met my sailor bold
On the banks of sweet Loch Ray.
2. ""Good morning to you, fair maid,"" he said,
With a heart so free
""And would you be contented
To go along with me?
I will dress you like Queen Helen
All in your Grecian style
And when we'll go to the town of Boyle
I will there make you my bride.""

3. With a modest blush this fair maid said,
""Your suit I must deny
For I am no way fitting
To be a sailor's bride.
Far from my native country
I am not inclined to stray
For my heart would break were I to leave
The banks of sweet Loch Ray.""

4. ""Fair maiden, I will not ask you
To leave your native place.
We will here set down and court awhile
All in this silent place,
We will set down and court awhile
Among the flowers so gay
And herd your sheep as they do feed
On the banks of sweet Loch Ray.""

5. Rolled up in the rapture of the night
The time stole slowly on.
My love has taken flight
And from me he has gone.
I'll never love a young man,
I never loved any young man half so well
And where to find my sailor bold
I'm sure I cannot tell.

6. My sailor bold he's gone from me
And he's crossed o'er the Main.
I mean for to live single
Until he returns again.
A crown of gold I would bestow
And at his feet I'd lay.
I'd bid adieu forevermore
To the banks of sweet Loch Ray.
"
25,Banks of the Nile,"
Farewell, my dearest Nancy,
Farewell I must away.
I hear the drums a-beating
And no longer I can stay.
For we're orders out of Portsmouth Town
And for many a long mile
For to fight the blacks and heathens
On the banks of the Nile.
2. Oh, I'll cut off my curly locks
And along with you I'll go
I'll dress meself in velveteen
And go and see Egypt, too.
I'll fight and bear thy banners well,
Kind fortune upon thee smile.
And we'll comfort one another
On the banks of the Nile.
3. Oh, your waist it is too slender, love,
And your waist it is too small.
I'm afraid that you won't answer me,
If l should on you call
Your delicate constitution will
Not stand the unwholesome soil.
Nor the dark, nor the sandy climate
On the banks of the Nile.
4. O Willie, dearest William.
Don't leave me here to mourn,
You'll make me curse and rue the day
For whenever I'd been born.
For the parting of my own true love
And the parting of me life
Now stay at home, dear William,
And I will be thee wife.
5. My curse upon the war
And the hour that it began
For it has robbed our counterie
Of many a gallant man
It took from us our old sweethearts,
Protectors of our soil
And their blood does steep the grass that's deep
On the banks of the Nile.
6. Let a hundred days be darkened
And let maidens give a sigh
It would melt the very elements
To hear the wounded cry
Let a hundred days be brightened
And let the maidens give a smile
But remember Abercrombie
On the banks of the Nile.
7. O now the war is over
And back I'll then return
Unto my wife and family
I'll leave behind to mourn.
We'll call them in around, me boys,
And there's no end of toil.
And no more we'll go a'roving
On the banks of the Nile.
"
