,title,lyrics
10,The Coasts of High Barbary,"Look ahead, look a stern, look the weather in the lee,
Blow high! Blow low! and so sailed we.
I see a wreck to the windward and a lofty ship to lee,
A sailing down all on the coasts of High Barbary
O are you a pirate or a man-o-war? cried we.
Blow high! Blow low! and so sailed we.
O no! I'm not a pirate but a man-o-war, cried he.
A sailing down all on the coasts of High Barbary
We'll back up our topsails and heave our vessel to;
Blow high! Blow low! and so sailed we.
For we have got some letters to be carried home by you.
A sailing down all on the coasts of High Barbary
For broadside, for broadside they fought all on the main;
Blow high! Blow low! and so sailed we. 
Until at last the frigate shot the pirate's mast away.
A sailing down all on the coasts of High Barbary
With cutlass and gun, O we fought for hours three;
Blow high! Blow low! and so sailed we.
The ship it was their coffin and their grave it was the sea.
A sailing down all on the coasts of High Barbary"
11,Hi-Ho Come Roll Me Over,"Why don't you blow
High-O! cume roll me over
Why don't you blow
High-O! cume roll me over
One man to strike the bell
High-O! cume roll me over
One man to strike the bell
High-O! cume roll me over
Two men to man the wheel
High-O! cume roll me over
Two men to man the wheel
High-O! cume roll me over
Three men, to gallant braces
High-O! cume roll me over
Three men, to gallant braces
High-O! cume roll me over
Four men to furl t'garns'ls
High-O! cume roll me over
Four men to furl t'garns'ls
High-O! cume roll me over
Five men to bunt-a-bo
High-O! cume roll me over
Five men to bunt-a-bo
High-O! cume roll me over"
12,Good Morning Ladies All,"We are outward bound for Kingston town
With a heave-o, haul!
An' we'll heave the ol' wheel round an' round
Good mornin' ladies all!
An' when we get to Kingston town
With a heave-o, haul!
Oh, 'tis there we'll drink and sorrow drown
Good mornin' ladies all!
Them gals down south are free an' gay
With a heave-o, haul!
Wid them we'll spend our hard-earned pay
Good mornin' ladies all!
We'll swing around, we'll have good fun
With a heave-o, haul!
An' soon we'll be back on the homeward run
Good mornin' ladies all!
An' when we get to Bristol town
With a heave-o, haul!
For the very last time we'll waltz around
Good mornin' ladies all!
With Poll and Meg an' Sally too
With a heave-o, haul!
We'll drink an' dance wid a hullabaloo
Good mornin' ladies all!
So a long goodbye to all you dears
With a heave-o, haul!
Don't cry for us, don't waste yer tears
Good mornin' ladies all!"
13,Whiskey Johnny,"Whiskey is the life of men.
Whiskey! Johnny!
Ohh whiskey is the life of men.
Whiskey for my Johnny Ohh.
I drink whiskey when i can.
Whiskey! Johnny!
I drink it out of an ol' tin can.
Whiskey for my Johnny Ohh.
Whiskey gave me a broken nose.
Whiskey! Johnny!
Whiskey made me pawn my toes.
Whiskey for my Johnny Ohh.
Whiskey drove me around Cape Horn.
Whiskey! Johnny!
It was many amongst where I was gone.
Whiskey for my Johnny Ohh.
I tought I heard the old man say.
Whiskey! Johnny!
I treat my crew in a decent way.
Whiskey for my Johnny Ohh.
A glass of Grappa for every man.
Whiskey! Johnny!
And a bottle for santy man.
Whiskey for my Johnny Ohh."
14,Derby Ram,"As I was going to Derby, 'twas on a market day,
I met the finest ram, sirs, that ever was fed upon hay.
That's a lie, that's a lie
That's a lie, a lie, a lie!
This ram and I got drunk, sir, as drunk as drunk could be.
And when we sobered up, sir, we were far away out on the sea.
That's a lie, that's a lie
That's a lie, a lie, a lie!
This wonderful old ram, sir, was playful as a kid; He swallowed the captain's spyglass along with the bo'sun's fid.
That's a lie, that's a lie
That's a lie, a lie, a lie!
One morning on the poop, sir, afore eight bells was struck,
He climbed up to the sky's I yard an' sat down on the truck.
That's a lie, that's a lie
That's a lie, a lie, a lie!
This wonnerful ol' ram, sir, he tried a silly trick, He tried to jump a five-barred fence an landed in a rick.
That's a lie, that's a lie
That's a lie, a lie, a lie!
This wonnerful ol'ram, sir, it grew two horns of brass, One grew out o' his shoulder blade, t'other turned into a mast .
That's a lie, that's a lie
That's a lie, a lie, a lie!
An' when this ram was killed, sir, the butcher was covered in blood,
Five and twenty butcher boys was carried away the flood.
That's a lie, that's a lie
That's a lie, a lie, a lie!
An' when this ram was z dead, sir, they buried it in St Joan's,
It tool ten men an' an elephant to carry one of it's bones.
That's a lie, that's a lie
That's a lie, a lie, a lie!"
15,The Dead Horse,"A poor old man came riding by
And we say so and we know so
Oh, a poor old man came riding by
Oh poor old man
Says I old man your horse will die
And we say so and we know so
And if he dies we'll tan his hide
Oh poor old man
And if he don't i'll ride him again
And we say so and we know so
And I'll ride him till the lord knows when
Oh poor old man
Hes dead as a nail in the lamp room door
And we say so and we know so
And he wont come worrying us no more 
Oh poor old man
We'll use the hair of his tail to sew our sails
And we say so and we know so
And the iron of his shoes to make deck nails
Oh poor old man
Drop him down with a long long rope
And we say so and we know so
Where the sharks will have his body and the devil takes his soul
Oh poor old man"
16,Roller Bowler,"As I rolled out one mornin'
Away, you roller bowler!
As I rolled out one mornin'
I met a lady fair
Timme. hey-rig-a-jig an' a ha-ha
Good morning ladies all
Away, you roller bowler
Timme, hey-rig-a-jig an' a ha-ha!
Good mornin', ladies all
The first time that I saw her
Away, you roller bowler!
The first time that I saw her,
that saucy gal of mine:
Timme. hey-rig-a-jig an' a ha-ha
Good morning ladies all
Away, you roller bowler
Timme, hey-rig-a-jig an' a ha-ha!
Good mornin', ladies all
But when she found that I was skint
Away, you roller bowler!
But when she found that I was skint
She left me standing there
Timme. hey-rig-a-jig an' a ha-ha
Good morning ladies all
Away, you roller bowler
Timme, hey-rig-a-jig an' a ha-ha!
Good mornin', ladies all
I squared me yards an' sailed away
Away, you roller bowler!
I squared me yards an' sailed away
An' to the ship I went
Timme. hey-rig-a-jig an' a ha-ha
Good morning ladies all
Away, you roller bowler
Timme, hey-rig-a-jig an' a ha-ha!
Good mornin', ladies all
She winked & flipped a flipper
Away, you roller bowler!
She winked & flipped a flipper
she thought I was a mate
Timme. hey-rig-a-jig an' a ha-ha
Good morning ladies all
Away, you roller bowler
Timme, hey-rig-a-jig an' a ha-ha!
Good mornin', ladies all"
17,Randy Dandy O,"Now we are ready to sail for the Horn,
Weigh hey, roll and go!
Our boots and our clothes, boys, are all in the pawn,
To be rollicking randy dandy-O!
Heave a pawl, 0 heave away!
Weigh hey, no! and go!
The anchor's on board and the cable's all stored,
To be rollicking randy dandy-O!
Soon well be warping her out through the locks,
Weigh hey, roll and go!
Where the pretty young girls all come down in their frocks,
To be rollicking randy dandy-O!
Heave a pawl, 0 heave away!
Weigh hey, no! and go!
The anchor's on board and the cable's all stored,
To be rollicking randy dandy-O!
Come breast the bars, bullies, heave her away,
Weigh hey, roll and go! .
Soon well be rolling her down through the Bay,
To be rollickinq randy dandy-O!
Heave a pawl, 0 heave away!
Weigh hey, no! and go!
The anchor's on board and the cable's all stored,
To be rollicking randy dandy-O!"
18,Johnny Boker,"Oh! Do my Johnny Boker,
Come rock and roll me over.
Do! My Johnny Boker, do!
Oh! Do, my Johnny Boker,
The skipper is a rover.
Do! My Johnny Boker, do!
The mate he's never sober.
The Bo'sun is a tailor.
We'll all go on a jamboree..
The Packet is a Rolin'.
Well pull and haul together.
Well haul for better weather.
And soon we'll be in London Town.
Come rock and roll me over."
19,The Wild Goose,"Did you ever see a wild goose
Sailing o'er the ocean?
Ranzo, Ranzo, weigh heigh!
They're just Dke them pretty girls,
When they gets the notion.
Ranzo, Ranzo, weigh heigh!
The other morning
I was walking by the river.
Ranzo, Ranzo, weigh heigh!
When I saw a young girl walking
With her topsails all a-quiver.
Ranzo, Ranzo, weigh heigh!
I said, ""Pretty fair maid
And how are you this morning?""
Ranzo, Ranzo, weigh heigh!
She said none the better 
for the seeing of you
Ranzo, Ranzo, weigh heigh!"
20,Running Down to Cuba,"Running down to Cuba with a toad of sugar,
Weigh, me boys, to Cuba!
Make her run you, lime juice squeezes,
Running down to Cuba.
Weigh, me boys, to Cuba!
Running down to Cuba
O, I got a sister, she's nine feet tall,
Weiqh, me bovs, to Cuba!
Sleeps in the kitchen with her feet in the hall.
Running down to Cuba.
Weigh, me boys, to Cuba!
Running down to Cuba
The captain he will trim the sails,
Weigh, me boys, to Cuba!
Winging the water over the rails,
Running down to Cuba.
Weigh, me boys, to Cuba!
Running down to Cuba
Give me a gal can dance Fadango,
Weigh, me boys, to Cuba!
Round as a melon and sweet as a mango,
Running down to Cuba.
Weigh, me boys, to Cuba!
Running down to Cuba
Load this sugar and home-ward go,
Weigh, me boys, to Cuba!
Mister mate, he told me so,
Running down to Cuba.
Weigh, me boys, to Cuba!
Running down to Cuba"
21,Spanish Ladies,"Farewell and adieu to you, Spanish Ladies,
Farewell and adieu to you, ladies of Spain;
For we've received orders for to sail for old England
And we may never see you fair ladies again.
We will rant and we'll roar like true British sailors,
We'll rant and we'll roar all on the salt seas
Until we strike soundings in the channel of old England;
From Ushant to Scilly is thirty-five leagues.
We hove our ship to with the wind from sou'west, boys
We hove our ship to, deep soundings to take;
'Twas forty-five fathoms,with a white sandy bottom,
So we squared our main yard and up channel did steer
We will rant and we'll roar like true British sailors,
We'll rant and we'll roar all on the salt seas
Until we strike soundings in the channel of old England;
From Ushant to Scilly is thirty-five leagues.
Now let ev'ry man drink off his full bumper,
And let ev'ry man drink off his full glass;
We'll drink and be jolly and drown melancholy,
And here's to the health of each true-hearted lass
We will rant and we'll roar like true British sailors,
We'll rant and we'll roar all on the salt seas
Until we strike soundings in the channel of old England;
From Ushant to Scilly is thirty-five leagues.﻿"
22,Fish in the Sea,"Come all you young sailor men, listen to me,
I'l sing you a song of the fish in the sea;
And it's—
Windy weather, boys, stormy weather, boys.
When the wind blows, we're all together, boys;
Blow ye winds westerly, blow ye winds, blow,
Jolly sou'wester, boys, steady she goes.
Up jumps the eel with his slippery tail,
Climbs up aloft and reefs the topsail
And it's—
Windy weather, boys, stormy weather, boys.
When the wind blows, we're all together, boys;
Blow ye winds westerly, blow ye winds, blow,
Jolly sou'wester, boys, steady she goes.
Then up jumps the shark with his nine rows of teeth,
Saying, ""You eat the dough boys, and I'D eat the beef!""
And it's—
Windy weather, boys, stormy weather, boys.
When the wind blows, we're all together, boys;
Blow ye winds westerly, blow ye winds, blow,
Jolly sou'wester, boys, steady she goes.
Up jumps the whale., the largest of all,
""If you want any wind, well, I'll blow ye a squall!!
And it's—
Windy weather, boys, stormy weather, boys.
When the wind blows, we're all together, boys;
Blow ye winds westerly, blow ye winds, blow,
Jolly sou'wester, boys, steady she goes."
23,Drunken Sailor,"Weigh-hay and up she rises
Weigh-hay and up she rises
Weigh-hay and up she rises
Early in the morning!
What will we do with a drunken sailor,
What will we do with a drunken sailor.
What will we do with a drunken sailor,
Early in the morning?
Weigh-hay and up she rises
Weigh-hay and up she rises
Weigh-hay and up she rises
Early in the morning!
Put 'em in the scuppers with a hose pipe on him,
Put 'em in the scuppers with a hose pipe on him,
Put 'em in the scuppers with a hose pipe on him,
Early in the morning!
Weigh-hay and up she rises
Weigh-hay and up she rises
Weigh-hay and up she rises
Early in the morning!
Put him in the brig until he's sober,
Put him in the brig until he's sober,
Put him in the brig until he's sober,
Early in the morning!
Weigh-hay and up she rises
Weigh-hay and up she rises
Weigh-hay and up she rises
Early in the morning!"
24,Hauley Hauley Ho,"England, ould Ireland
England, ould Ireland
England, ould Ireland
Hauley Hauley Ho!
Paddy M'Ginty
Paddy, Jock and Jackie too.
Oh Paddy M'Ginty,
Hauley, Hauley-ho!
Shamrock an' Rose, boys.
Shamrock, Rose, and prickly Thistle too,
Shamrock an' Rose, boys,
Hauley Hauley Ho!
England, ould Ireland
England, ould Ireland
England, ould Ireland
Hauley Hauley Ho!"
25,Stormalong John,"Oh, poor old Stormy's dead and gone
Storm along boys! Storm along John!
Oh, poor old Stormy's dead and gone
Ah-ha, come along get along
Stormy along John!
I dug his grave with a silver spade
Storm along boys! Storm along John!
I dug his grave with a silver spade
Ah-ha, come along get along
Stormy along John!
I lower'd him down with a golden chain
Storm along boys! Storm along John!
I lower'd him down with a golden chain
Ah-ha, come along get along
Stormy along John!
I carried him away to Montego Bay
Storm along boys! Storm along John!
I carried him away to Montego Bay
Ah-ha, come along get along
Stormy along John!﻿"
26,The Worst Old Ship,"The worst old ship that ever did sail,
Sailed out of Harwich on a windy day.
Chorus:
And we're waiting for the day,
Waiting for the day,
Waiting for the day
That we get our pay.
She was built in Roman time,
Held together with bits of twine
""Chorus""
Nothing in the galley—nothing in the hold,
But the skipper's turned in with a bag of gold.
""Chorus""
Off Orford Ness she sprang a leak,
Hear her poor old timbers creak.
""Chorus""
We pumped our way round Lowestoft Ness,
When the wind backed round to the west-sou'-west.
""Chorus""
Into the Humber and up the town,
Pump you blighters—pump or drown.
""Chorus x2"""
27,The Rio Grande,"0 say was you ever in Rio Grande?
A-weigh, you Rio!
It's there that the river brings down golden sand,
For we're bound for the Rio Grande
And away, boys, away.
A-weigh, you Rio!
It's fare-you-well my bonny young girls,
And we're bound for the Rio Grande
It's fare well to you all the girts of the town.
A-weigh, you Rio!
You got our half-pay for to keep you around,
And we're bound for the Rio Grande!
And away, boys, away.
A-weigh, you Rio!
It's fare-you-well my bonny young girls,
And we're bound for the Rio Grande
She's a deep water ship and a deep water crew.
A-weigh, you Rio!
You can keep to the coast but we're dammed if we do,
And we're bound for the Rio Grande!
And away, boys, away.
A-weigh, you Rio!
It's fare-you-well my bonny young girls,
And we're bound for the Rio Grande
We was sick of the beach when our money was gone.
A-weigh, you Rio!
And sign in this packet to drive her along,
And we're bound for the Rio Grande!"
28,Homeward Bound,"Hey boys!
Oh, don't yiz hear the old man say?
Goodbye, fare-ye-well! Goodbye, fare-ye-well!
Oh. Don't yiz hear the old man say?
Hoor-raw me boys! We're homeward bound!
We're Homeward bound to Liverpool Town,
Goodbye, fare-ye-well! Goodbye, fare-ye-well!
Where all them judies, they will come down
Hoor-raw me boys! We're homeward bound!
An' when we gits to the Wallasey Gates
Goodbye, fare-ye-well! Goodbye. fare-ye-Well!
Sally an' Oily for their flash men do wait
Hoor-raw me boys! We're homeward bound!
An' one to the other ye'll hear them say,
Goodbye, fare-ye-well! Goodbye, fare-ye-Well!
Here comes Johnny with his fourteen mont's pay!
Hoor-raw me boys! We're homeward bound!
We meet these fly gals an' well ring the ol-bel.
Goodbye, fare-ye-well! Goodbye, fare-ye-well!
With them judies, we'l raise merry hell
Hoor-raw me boys! We're homeward bound!
We're homeward bound to the gals o' the tom
Goodbye, fare-ye-well! Goodbye, fare-ye-well!
And stamp up me bullies an' heave it around.
Hoor-raw me boys! We're homeward bound!
An' when we gits home, boys, oh, won't we fly round.
Goodbye, fare-ye-well! Goodbye, fare-ye-well!
Well heave up the anchor to this bully sound
Hoor-raw me boys! We're homeward bound!
We're all homeward bound for the old backyard.
Goodbye Fare-ye-well! Goodbye Fare-ye-well!
Then heave, me bullies, we're all bound homeward
Hoor-raw me boys! We're homeward bound!
Heave with a will boys, oh, heave long an'strong.
Goodbye Fare-ye-well! Goodbye Fare-ye-well!
Sing a good chorus for tis a good song
Hoor-raw me boys! We're homeward bound!
We're homeward bound, well have yiz to know.
Goodbye Fare-ye-well! Goodbye Fare-ye-well!
An' over the water to England must go!
Hoor-raw me boys! We're homeward bound!"
29,Way Me Susiana,"We'll heave him up and away we'll go
('Way, me Susiana!)
That is where the cocks do crow
(We're all bound over the mountain)
An' when the cocks begin to crow
('Way, me Susiana!)
'Tis time for me to roll an' go
(We're all bound over the mountain)
And if we drown while we are young
('Way, me Susiana!)
It's better to drown than to wait to be hung
(We're all bound over the mountain)
Oh, growl ye may but go ye must
('Way, me Susiana!)
If ye growl too hard yer head they'll bust
(We're all bound over the mountain)
Up sox, you cocks, hand her two blocks
('Way, me Susiana!)
And go below to yer ol' ditty box
(We're all bound over the mountain)
Oh, rock and shake 'er, one more drag
('Way, me Susiana!)
Oh, bend yer duds an' pack yer bag
(We're all bound over the mountain)"
30,"Leave Her, Johnny","I thought I heard the Old Man say:
""Leave her, Johnny, leave her.""
Tomorrow you will get your pay,
and its time for us to leave her.
Leave her, Johnny, leave her!
Oh, leave her, Johnny, leave her!
For the voyage is long and the winds don't blow
And it's time for us to leave her.
Oh, the wind was foul and the sea ran high
Leave her, Johnny, leave her!
She shipped it green and none went by.
And it's time for us to leave her.
Leave her, Johnny, leave her!
Oh, leave her, Johnny, leave her!
For the voyage is long and the winds don't blow
And it's time for us to leave her.
I hate to sail on this rotten tub.
""Leave her, Johnny, leave her!""
No grog allowed and rotten grub.
And it's time for us to leave her.
Leave her, Johnny, leave her!
Oh, leave her, Johnny, leave her!
For the voyage is long and the winds don't blow
And it's time for us to leave her.
We swear by rote for want of more.
""Leave her, Johnny, leave her!""
But now were through so we'll go on shore.
And it's time for us to leave her.
Leave her, Johnny, leave her!
Oh, leave her, Johnny, leave her!
For the voyage is long and the winds don't blow
And it's time for us to leave her."
