,title,lyrics
10,Eliza Lee,"Oh, the smartest packet you can find,
Ah he, ah ho, are you most done?
Is the fair ""Rosalind"" in the Blackball line!
So the clear the track, let the bulgine run,
To my aye rig a jig in the low back car,
Ah he, ha ho, are you most done?
With Eliza Lee all on my knee,
So clear the track, let the bulgine run.

The fair ""Rosalind"" one bright summer's day,
Ah he, ah ho, are you most done?
Went sailing away far out over the bay,
So the clear the track, let the bulgine run,
To my aye rig a jig in the low back car,
Ah he, ha ho, are you most done?
With Eliza Lee all on my knee,
So clear the track, let the bulgine run.

The tiller one hand firmly grasp'd,
Ah he, ah ho, are you most done?
And Eliza's waist by the other was clasp'd,
So the clear the track, let the bulgine run,
To my aye rig a jig in the low back car,
Ah he, ha ho, are you most done?
With Eliza Lee all on my knee,
So clear the track, let the bulgine run.

Oh the day was fine, the wind was free,
Ah he, ah ho, are you most done?
And Eliza Lee sat there on my knee,
So the clear the track, let the bulgine run,
To my aye rig a jig in the low back car,
Ah he, ha ho, are you most done?
With Eliza Lee all on my knee,
So clear the track, let the bulgine run.

Oh, Eliza Lee all on my knee,
Ah he, ah ho, are you most done?
Was as pretty a sight as any could see!
So the clear the track, let the bulgine run,
To my aye rig a jig in the low back car,
Ah he, ha ho, are you most done?
With Eliza Lee all on my knee,
So clear the track, let the bulgine run.

Oh, I said, ""My dear, will you be mine?""
Ah he, ah ho, are you most done?
Her answer was sweeter than sweetest of wine,
So the clear the track, let the bulgine run,
To my aye rig a jig in the low back car,
Ah he, ha ho, are you most done?
With Eliza Lee all on my knee,
So clear the track, let the bulgine run.

Oh the smartest packet you can find,
Ah he, ah ho, are you most done?
Is the fair ""Rosalind"" in the Blackwall line
So the clear the track, let the bulgine run,
To my aye rig a jig in the low back car,
Ah he, ha ho, are you most done?
With Eliza Lee all on my knee,
So clear the track, let the bulgine run."
11,Fire Down Below,"Fire in the galley, fire in the house,
Fire in the beef kid, scorching the scouse.
Fire, fire, fire down below,
Fetch a bucket of water,
Fire down below.

Fire in the cabin, fire in the hold,
Fire in the strong room melting the gold.
Fire, fire, fire down below,
Fetch a bucket of water,
Fire down below.

Fire round the capstan, fire on the mast,
Fire on the main deck, burning it fast.
Fire, fire, fire down below,
Fetch a bucket of water,
Fire down below.

Fire in the lifeboat, fire in the gig,
Fire in the pig-stye roasting the pig.
Fire, fire, fire down below,
Fetch a bucket of water,
Fire down below.

Fire in the store room spoiling the food,
Fire on the orlop burning the wood.
Fire, fire, fire down below,
Fetch a bucket of water,
Fire down below.

Fire on the waters, fire high above,
Fire in our hearts for the friends that we love.
Fire, fire, fire down below,
Fetch a bucket of water,
Fire down below."
12,The Fish Of The Sea,"Come all you young sailormen, listen to me
I'll sing you a song of the fish in the sea,
and it's...
Windy weather boys, stormy weather, boys
When the wind blows we're all together, boys
Blow ye winds westerly, blow ye winds, blow
Jolly sou'wester, boys, steady she goes.

Up jumps the eel with his slippery tail,
Climbs up aloft and reefs the topsail,
and it's...
Windy weather boys, stormy weather, boys
When the wind blows we're all together, boys
Blow ye winds westerly, blow ye winds, blow
Jolly sou'wester, boys, steady she goes.

Then up jumps the shark with his nine rows of teeth
Saying, 'You eat the dough boys, and I'll eat the beef!'
and it's...
Windy weather boys, stormy weather, boys
When the wind blows we're all together, boys
Blow ye winds westerly, blow ye winds, blow
Jolly sou'wester, boys, steady she goes.

Up jumps the lobster with his heavy claws,
Bites the main boom right off by the jaws!
and it's...
Windy weather boys, stormy weather, boys
When the wind blows we're all together, boys
Blow ye winds westerly, blow ye winds, blow
Jolly sou'wester, boys, steady she goes.

Up jumps the halibut, lies flat on the deck
He says, 'Mister Captain, don't step on my neck!'
and it's...
Windy weather boys, stormy weather, boys
When the wind blows we're all together, boys
Blow ye winds westerly, blow ye winds, blow
Jolly sou'wester, boys, steady she goes.

Up jumps the herring, the king of the sea,
Saying, 'All other fishes, now you follow me!'
and it's...
Windy weather boys, stormy weather, boys
When the wind blows we're all together, boys
Blow ye winds westerly, blow ye winds, blow
Jolly sou'wester, boys, steady she goes.

Up jumps the codfish with his chuckle-head,
He runs out up forward and throws out the lead!
and it's...
Windy weather boys, stormy weather, boys
When the wind blows we're all together, boys
Blow ye winds westerly, blow ye winds, blow
Jolly sou'wester, boys, steady she goes.

Up jumps the whale... the largest of all,
'If you want any wind, well, I'll blow ye a squall!'
and it's...
Windy weather boys, stormy weather, boys
When the wind blows we're all together, boys
Blow ye winds westerly, blow ye winds, blow
Jolly sou'wester, boys, steady she goes.

Windy weather boys, stormy weather, boys
When the wind blows we're all together, boys
Blow ye winds westerly, blow ye winds, blow
Jolly sou'wester, boys, steady she goes."
13,The Golden Vanity,"There was a ship that sailed
all on the Lowland Sea,
and the name of our ship
was the Golden Vanity
and we feared she would be taken
by the Spanish enemy
as she sailed in the Lowland,
Lowland, low
as she sailed in the Lowland sea.

Then up stepped our cabin boy
and boldly outspoke he
and he said to our captain
""what would you give to me
If I would swim along side
of the Spanish enemy
and sink her in the Lowland,
Lowland, low
and sink her in the Lowland, sea

""Oh, I would give you silver
and I would give you gold,
And my own fairest daughter
your bonny bride shall be,
If you will swim along side
of the Spanish enemy
and sink her in the Lowland,
Lowland low
And sink her in the Lowland sea.

The the boy he made him read
And overboard sprang he
and he swam alongside
of the Spanish enemy
And with his brace and auger
in her side he bored holes three,
And he sunk her in the Lowland,
Lowland Low,
And he sunk her in the Lowland Sea.

Then quickly he swam back
to the cheering of the crew
But the captain would not heed him
for his promise he did rue,
and he scorned his poor entreatings
when loudly he did sue,
And he left him in the Lowland,
Lowland, Low
And he left him in the Lowland Sea.

Then quickly he swam round
to the port side
And up to his messmates
full bitterly he cried,
""Oh, messmates, draw me up
for I'm drifting with the tide,
And I'm sinking in the Lowland,
Lowland, Low
I'm sinking in the lowland sea.""

Then his messmates drew him up,
But on the deck he died,
And they stitched him in his hammock
Which was so fair and wide,
And they lowered him overboard
And he drifted with the tide,
And he sank in the Lowland,
Lowland, low
And he sank in the Lowland sea."
14,Hanging Johnny,"They call me hanging Johnnie,
Horray, Hooray!
They call me hanging Johnnie,
Hang, boys, hang.

They say I hang for money,
Horray, Hooray!
But saying so is funny;
Hang, boys, hang.

I'd hang the highway robber,
Horray, Hooray!
I'd hang the burglar jobber;
Hang, boys, hang.

I'd hang a noted liar,
Horray, Hooray!
I'd hang a bloated friar;
Hang, boys, hang.

Come hang, come haul together,
Horray, Hooray!
Come hang for finer weather,
Hang, boys, hang.

I'd hang a brutal mother,
Horray, Hooray!
I'd hang her and no other;
Hang, boys, hang.

I'd hang to make things jolly,
Horray, Hooray!
I'd hang all wrong and folly;
Hang, boys, hang.

They call me hanging Johnnie.
Horray, Hooray!
They call me hanging Johnnie,
Hang, boys, hang."
15,"Haul Away, Joe! (Version 1)","When I was a little lad
And so my mother told me,
Way, haul away, we'll haul away Joe,
That if I did not kiss a gal
My lips would grow all moldy,
Way, haul away, we'll haul away Joe.
Way, haul away, we'll haul for better weather,
Way, haul away, we'll haul away Joe.

King Louis was the King of France
Before the Revolution,
Way, haul away, we'll haul away Joe,
King Louis got his head cut off
Which spoiled his constitution.
Way, haul away, we'll haul away Joe.
Way, haul away, we'll haul for better weather,
Way, haul away, we'll haul away Joe.

Oh the cook is in the galley
Making duff so handy
Way, haul away, we'll haul away Joe,
And the captain's in his cabin
Drinkin' wine and brandy
Way, haul away, we'll haul away Joe.
Way, haul away, we'll haul for better weather,
Way, haul away, we'll haul away Joe."
16,"Haul Away, Joe! (Version 2)","Haul away the bowline
The Yankee ship's a rollin',
Haul away! Haul away! Haul away, Joe!

Once I had a Yankee girl,
And she was such a daisy,
Haul away! Haul away! Haul away, Joe!

Once I had a Scotch girl,
And she was fat and lazy,
Haul away! Haul away! Haul away, Joe!

Then I had an English girl,
And she was tall and crazy,
Haul away! Haul away! Haul away, Joe!"
17,The Holy Ground Once More,"Fare thee well, my lovely Dinah,
a thousand times adieu.
We are bound away from the Holy Ground
and the girls we love so true.
We'll sail the salt seas over
and we'll return once more,
And still I live in hope to see
the Holy Ground once more.
You're the girl that I adore,
And still I live in hope to see
the Holy Ground once more.

Now when we're out a-sailing
and you are far behind
Fine letters will I write to you
with the secrets of my mind,
The secrets of my mind, my girl,
you're the girl that I adore,
And still I live in hope to see
the Holy Ground once more.
You're the girl that I adore,
And still I live in hope to see
the Holy Ground once more.

Oh now the storm is raging
and we are far from shore;
The poor old ship she's sinking fast
and the riggings they are tore.
The night is dark and dreary,
we can scarcely see the moon,
But still I live in hope to see
the Holy Ground once more.
You're the girl that I adore,
And still I live in hope to see
the Holy Ground once more.

It's now the storm is over
and we are safe on shore
We'll drink a toast to the Holy Ground
and the girls that we adore.
We'll drink strong ale and porter
and we'll make the taproom roar,
And when our money is all spent
we'll go to sea once more.
You're the girl that I adore,
And still I live in hope to see
the Holy Ground once more."
18,Homeward Bound,"Our anchor we'll weigh,
And our sails we will set.
Goodbye, fare-ye-well,
Goodbye, fare-ye-well.
The friends we are leaving,
We leave with regret,
Hurrah, my boys, we're homeward bound.

We're homeward bound,
Oh joyful sound!
Goodbye, fare-ye-well,
Goodbye, fare-ye-well.
Come rally the capstan,
And run quick around.
Hurrah, my boys, we're homeward bound.

We're homeward bound
We'd have you know
Goodbye, fare-ye-well,
Goodbye, fare-ye-well.
And over the water
To England must go,
Hurrah, my boys, we're homeward bound.

Heave with a will,
And heave long and strong,
Goodbye, fare-ye-well,
Goodbye, fare-ye-well.
Sing a good chorus
For 'tis a good song.
Hurrah, my boys, we're homeward bound.

Hurrah! that good run
Brought the anchor a-weigh,
Goodbye, fare-ye-well,
Goodbye, fare-ye-well.
She's up to the hawse,
Sing before we belay.
Hurrah, my boys, we're homeward bound.

'We're homeward bound,'
You've heard us say,
Goodbye, fare-ye-well,
Goodbye, fare-ye-well.
Hook on the cat fall then,
And rut her away.
Hurrah, my boys, we're homeward bound."
19,The Lass of Swansea Town,"It was down by Swansea barracks
one May morning I strayed
A-viewing of the soldier lads
I spied a comely maid,
It was o'er her red and rosy cheeks
the tears did dingle down,
I thought she was some goddess fair,
the lass of Swansea town.

I said, ""Fair maid, what brought you here,
what brought you here to mourn?""
""Oh I'm in search of Willie dear,
my bonny young sailor boy,
Eight years ago he left me here
for Bermuda he was bound,
He said he would prove faithful to
the lass of Swansea town.""

""If eight years ago he left you
it is useless for to mourn,
For perhaps he is in some battle slain,
or in the ocean drowned.""
""Oh God forbid, young man,"" she said.
""By what token will he be known,
if he ever do return to the
lass of Swansea Town.""

""On his left breast he wears a scar
where he received a wound""
""If by that token your Willie is known
it's him I know right well,
The cannon-ball which made him fall
gave him his deathly wound,
He told me to take care of you
the lass of Swansea town.""

Soon as she heard him say these words
she fell in deep despair,
Wringing of her lily-white hands
and tearing of her hair,
Saying, ""Take me to my Willie,
else give me my death wound,
For no other man will ever enjoy
the lass of Swansea town.""

On coming to herself once more up
from the ground she rose,
His waistcoat it blew open and
the scar it did expose.
They walked till they reached his cottage
and there they settled down,
Young Willie of the royal blue and
the lass of Swansea town."
20,"Leave Her, Johnny","Oh, I thought I heard the Ol' Man say,
Leave her, Johnny, Leave her!
Tomorrow ye will get your pay,
An it's time for us to leave her!

The work wuz hard an' the voyage wuz long,
Leave her, Johnny, Leave her!
The sea was high an' the gales wuz strong.
An it's time for us to leave her!

The wind was foul an' the sea ran high,
Leave her, Johnny, Leave her!
She shipped it green an' none went by.
An it's time for us to leave her!

The grub was bad an' the wages low,
Leave her, Johnny, Leave her!
But now once more ashore we'll go.
An it's time for us to leave her!

Oh, our Old Man he don't set no sail,
Leave her, Johnny, Leave her!
We'd be better off in a nice clean gaol.
An it's time for us to leave her!

We'd be better off in a nice clean gaol,
Leave her, Johnny, Leave her!
With all night in an' plenty o' ale.
An it's time for us to leave her!

She's poverty stricken a' parish-rigged,
Leave her, Johnny, Leave her!
The bloomin' crowd is fever-stricked.
An it's time for us to leave her!

Oh, sing that we boys will never be
Leave her, Johnny, Leave her!
In a hungry bitch the likes o' she.
An it's time for us to leave her!

The mate was a bucko an' the Old Man a Turk,
Leave her, Johnny, Leave her!
The bosun wuz a beggar with the middle name o' Work.
An it's time for us to leave her!

The Old Man swears an' the mate swears too,
Leave her, Johnny, Leave her!
The crew all swears and so would you.
An it's time for us to leave her!

It's growl yer may an' go yer must,
Leave her, Johnny, Leave her!
It matters not whether yer last or fust.
An it's time for us to leave her!

The winds wuz foul, all work, no pay [play]
Leave her, Johnny, Leave her!
To Liverpool Docks from 'Frisco Bay.
An it's time for us to leave her!

The ship won't steer, nor stay, nor wear,
Leave her, Johnny, Leave her!
An' so us shellbacks learnt to swear.
An it's time for us to leave her!

She will not wear, nor steer, nor stay,
Leave her, Johnny, Leave her!
Her sails an' gear all carried away.
An it's time for us to leave her!

We wuz made to pump all night an' day,
Leave her, Johnny, Leave her!
An' we half-dead had beggar-all to say.
An it's time for us to leave her!

We'll leave her tight an' we'll leave her trim,
Leave her, Johnny, Leave her!
We'll heave the hungry barstard in.
An it's time for us to leave her!

Oh, leave her, Johnny, an' we'll work no more,
Leave her, Johnny, Leave her!
Of pump or drown we've had full store.
An it's time for us to leave her!

Leave her, Johnny, an' we'll leave her with a grin,
Leave her, Johnny, Leave her!
There's many a worser we've sailed in.
An it's time for us to leave her!

The sails is furled an' our work is done,
Leave her, Johnny, Leave her!
An now ashore we'll have our bit o' fun.
An it's time for us to leave her!

We'll make her fast an' stow our gear,
Leave her, Johnny, Leave her!
The gals are a-waitin' on the pier.
An it's time for us to leave her!

Leave her, Johnny, ye can leave her like a man,
Leave her, Johnny, Leave her!
Oh, leave her, Johnny, oh, leave her while yer can.
An it's time for us to leave her!

Now I thought I heard the Old Man say,
Leave her, Johnny, Leave her!
One more good heave an' then belay.
An it's time for us to leave her!

Other verses:

A rantin' mate an' a bully skipper too,
Leave her, Johnny, Leave her!
On a leakin' ship an' a rotten, harping crew.
An it's time for us to leave her!

We're all of us old an' we're weak n' sad,
Leave her, Johnny, Leave her!
Since we first joined this ruddy wooden-clad
[iron-clad].
An it's time for us to leave her!

Mahogany beef an' weevils in our bread,
Leave her, Johnny, Leave her!
We wisht old Crackerhash Joe wuz dead.
An it's time for us to leave her!

Oh, Capen, now ye are gonna lose yer crew,
Leave her, Johnny, Leave her!
We've had enough of the ship, the grub an you.
An it's time for us to leave her!"
21,Maid of Amsterdam,"In Amsterdam there lived a maid
Mark you well what I say!
In Amsterdam there lives a maid,
And this fair maid my trust betrayed.

Chorus
I'll go no more a rovin, with you fair maid.
A roving, A roving, since roving's been my ru-i-in,
I'll go no more a roving, with you fair maid.

Her eyes are like two stars so bright
Mark you well what I say
Her eyes are like two stars so bright,
Her face is fair, her step is light.

Chorus

I asked this fair maid to take a walk,
Mark well what I do say
I asked this maid out for a walk
That we might have some private talk.

Chorus

Then I took this fair maid's lily white hand,
Mark well what I do say
I took this fair maid's lily white hand
In mine as we walked along the strand.

Chorus

Then I put my arm around her waist
Mark well what I do say!
For I put my arm around her waist
And from her lips snatched a kiss in haste!

Chorus

Then a great big Dutchman rammed my bow
Mark well what I do say
For a great big Dutchman rammed my bow,
And said, ""Young man, dis bin mein vrow!""

Chorus

Then take warning boys, from me,
Mark well what I do say!
So take a warning, boys, from me,
With other men's wives don't make too free.

Chorus

For if you do you will surely rue
Mark well what I do say!
For if you do you will surely rue
Your act, and find my words come true.

Chorus"
