,title,lyrics
13,christopher columbo sea porn lyric warning,hear sample here http www saltydick com lyrics christopher columbo htmin fourteen hundred ninety two a sailor from italy he walked the dirty streets of spain and shat in every alley at that time reigned a fair young queen of spain named isabella who cast an amoroshus glance at chris the smart young fella he knew the world was round o his balls did touch the ground o that syphilitic hypocritic son of a bitch columbo columbo went to the queen of spain and made a proposition but what she wanted most to do was fuck in the prone position the queen of spain then said to him she d give him ships and cargo he said i ll kiss your royal ass if i don t bring back chicago he knew the world was round o the queenly cunt he d pound o that fornicating royal mating son of a bitch columbo three little ships set out to sea each one a double decker the queen she waved the royal flag columbo waved his pecker columbo paced upon the deck he knew it was his duty he took in whang into his hand and said ain t that a beauty he knew the world was round o that sailors could be browned o that dirty lecher asshole stretcher son of a bitch columbo columbo had a second mate he loved just like a brother and every night below the decks they bung holed one another the fourteen year old cabin boy that dirty little nipper shoved powdered glass right up his ass and circumcised the skipper he knew the world was round o his pecker it was ground o that bleeding fucker weenie sucker son of a bitch columbo for forty days and forty nights they sailed the broad atlantic until at last for a piece of ass the whole crew it grew frantic a mermaid came a swimming by the crew let out a holler and when they tossed her back to sea she d made ten thousand dollars he knew the world was round o that tail o could be found o that navigating masturbating son of a bitch columbo an indian maid appeared on shore columbo soon pursued her the white of an egg rolled down her leg the son of a bitch he screwed her and when he got back home to spain to tell of his adventures queen isabella sucked him off of course without her dentures he knew the world was round o his dangling dong was crowned o that syphilitic hypocritic fornicating royal mating dirty lecher asshole stretcher bleeding fucker weenie sucker navigating masturbating son of a bitch columbo
14,spanish ladies,farewell and adieu to you spanish ladies farewell and adieu to you ladies of spain for we ve received orders for to sail for old england and we may never see you fair ladies again we will rant and we ll roar like true british sailors we ll rant and we ll roar all on the salt seas until we strike soundings in the channel of old england from ushant to scilly is thirty five leagues we hove our ship to with the wind from sou west boys we hove our ship to deep soundings to take twas forty five fathoms with a white sandy bottom so we squared our main yard and up channel did steer we will rant and we ll roar like true british sailors we ll rant and we ll roar all on the salt seas until we strike soundings in the channel of old england from ushant to scilly is thirty five leagues now let ev ry man drink off his full bumper and let ev ry man drink off his full glass we ll drink and be jolly and drown melancholy and here s to the health of each true hearted lass we will rant and we ll roar like true british sailors we ll rant and we ll roar all on the salt seas until we strike soundings in the channel of old england from ushant to scilly is thirty five leagues
15,blow the wind westerly,up jumps a crab with his crooked legs saying you play the cribbage and i ll stick the pegs singing blow the wind westerly let the wind blow by a gentle nor wester how steady she goes up jumps a dolphin with his chuckle head he jumps on the deck saying pull out the lead singing blow the wind westerly let the wind blow by a gentle nor wester how steady she goes up jumps a flounder so flat on the ground saying damn your old chocolate mind how you sound singing blow the wind westerly let the wind blow by a gentle nor wester how steady she goes up jumps a salmon so bright as the sun he jumped down between the decks and fired off a gun singing blow the wind westerly let the wind blow by a gentle nor wester how steady she goes up jumps a whale the biggest of all he jumped up aloft and he s pawl after pawl singing blow the wind westerly let the wind blow by a gentle nor wester how steady she goes up jumps a herring the king of the sea he jumps up on deck saying helms a lee singing blow the wind westerly let the wind blow by a gentle nor wester how steady she goes up jumps a shark with his big row of teeth he jumped up between the decks and shook out the reefs singing blow the wind westerly let the wind blow by a gentle nor wester how steady she goes
16,hills of isle au haut,away and to the westward is a place a man should go where the fishing s always easy they ve got no ice or snow chorus but i ll haul down the sail where the bays come together bide away the days on the hills of isle au haut now the plymouth girls are fine they put their hearts in your hand and the plymouth boys are able first class sailors every man chorus now the trouble with old martin you don t try her in a trawler for those bay of biscay swells they roll your head from off your shoulder chorus away and to the westward is a place a man should go where the fishing s always easy they ve got no ice or snow chorus now the winters drive you crazy and the fishing s hard and slow you re a damned fool if you stay but there s no better place to go chorus
17,the bold princess royal,on the fourteenth of february we sailed from the land in the bold princess royal bound for newfoundland we had forty brave seamen for our ship s company and boldly from the eastward to the westward sailed we we had not been sailing past days two or three when a man from our foremast a sail he did see she hove down upon us to see what we were and under her foremast black colours she wore now when this bold pirate she hove alongside with a large speaking trumpet whence come you they cried our captain being aft boys he answered him so we come from fair london and we re bound for cairo come haul down your topsails your sternsails also for i have a letter to send home by you i ll not haul down my topsail nor heave my sails to but shall be in some harbour not alongside of you they fired shot after us but could not prevail when the bold princess royal soon shewed them her tail they drove us to windward but couldn t make us stay we hoisted our mainsail and then bore away thank god cries our captain the pirate is gone come down to your grog boys come down everyone come down to your grog boys and be of good cheer for while we have sea room brave boys never fear
18,round the bay of mexico,heave away me bully boys way ay heave awaywhy don t ye make some noise boys round the bay of mexico heave away and around goes she way ay heave away six for you and seven for me round the bay of mexico heave around an with a will way ay heave away if she don t go she ll stay there still round the bay of mexico heave away for she s trimmed light way ay heave away bend you backs if you want to sleep tonight round the bay of mexico
19,my boy willie,it was early early all in the spring that my boy willie went to serve the king the night was dark and the wind blew high it was then i lost my dear sailor boy the night is long and i can find no rest the thought of willie runs in my breast i ll search the green woods and village wide still hoping my true love to find oh father father give me a boat out on the ocean that i may float to watch the big boats as they pass by that i might enquire for my sailor boy she was not long out upon the deep when a man o war vessel she chanced to meet saying captain captain now tell me true if my boy willie is on board with you what sort of boy is your willie dear or what sort of a suit does your willie wear he wears a suit of the royal blue and you ll easy know him for his heart is true oh then your boy willie i am sorry to say has just been drowned the other day on yon green island that we pass by twas there we laid your poor sailor boy she wrung her hands and she tore her hair and she sobbed and sighed in her despair and with every sob she let fall a tear and every sigh was for her willie dear oh father make my grave both wide and deep with a fine tombstone at my head and feet and in the middle a turtle dove that the world may know that i died of love come all you sailors who sail along and all you boatmen who follow on from the cabin boy to the mainmast high ye must mourn in black for my sailor boy
20,the ballad of captain kidd,my name was william kidd when i sailed when i sailed my name was william kidd when i sailed my name was william kidd god s laws i did forbid and so wickedly i did when i sailed my parents taught me well when i sailed when i sailed my parents taught me well when i sailed my parents taught me well to shun the gates of hell but against them i rebelled when i sailed i d a bible in my hand when i sailed when i sailed i d a bible in my hand when i sailed i d a bible in my hand by my father s great command and i sunk it in the sand when i sailed i murdered william moore as i sailed as i sailed i murdered william moore as i sailed i murdered william moore and laid him in his gore not many leagues from shore as i sailed i was sick and nigh to death as i sailed as i sailed i was sick and nigh to death as i sailed i was sick and nigh to death and i vowed with every breath to walk in wisdom s ways when i sailed i thought i was undone as i sailed as i sailed i thought i was undone as i sailed i thought i was undone and my wicked glass had run but health did soon return as i sailed my repentance lasted not as i sailed as i sailed my repentance lasted not as i sailed my repentance lasted not my vows i soon forgot damnation was my lot as i sailed i spied three ships from france as i sailed as i sailed i spied three ships from france as i sailed i spied three ships from france to them i did advance and took them all by chance as i sailed i spied three ships from spain as i sailed as i sailed i spied three ships from spain as i sailed i spied three ships from spain i looted them for gain till most of them were slain as i sailed i d ninety bars of gold as i sailed as i sailed i d ninety bars of gold as i sailed i d ninety bars of gold and dollars manifold with riches uncontrolled as i sailed thus being o ertaken at last as i sailed as i sailed thus being o ertaken at last as i sailed thus being o ertaken at last and into prison cast and sentence being passed as i sailed farewell the raging main i must die i must die farewell the raging main i must die farewell the raging main to turkey france and spain i shall never see you again for i must die to the execution dock i must go i must go to the execution dock i must go to the execution dock while many thousands flock but i must bear the shock and must die come all ye young and old and see me die see me die come all ye young and old and see me die come all ye young and old you re welcome to my gold for by it i ve lost my soul and must die take a warning now by me for i must die i must die take a warning now by me for i must die take a warning now by me and shun bad company let you come to hell with me for i must die
21,baltimore shanty,and he kissed her on the face and the crew began to roar oh oh up she goes we re bound for baltimore and he kissed her on the nose and the crew began to roar oh oh up she goes we re bound for baltimore chorus no more no more we go to sea no more as soon we reach the town tonight we re leaving for the shore and he kissed her on the lips and the crew began to roar oh oh up she goes we re bound for baltimore and he kissed her on the neck and the crew began to roar oh oh up she goes we re bound for baltimore chorus and he kissed her on the bosom and the crew began to roar oh oh up she goes we re bound for baltimore and he kissed her on the mmmmmmmmmmmm hm hm hm hm hm hm hm oh oh up she goes we re bound for baltimore chorus x
22,andrew barton,as itt beffell in midsummer time when burds singe sweetlye on euery tree our noble king king henery the eighth ouer the river of thames past hee hee was no sooner ouer the riuer downe in a fforrest to take the ayre but eighty merchants of london cittye came kneeling before king henery there o yee are welcome rich merchants good saylers welcome unto me they swore by the rood they were saylers good but rich merchants they cold not bee to ffrance nor fflanders dare we nott passe nor burdeaux voyage wee dare not ffare and all ffor a ffalse robber that lyes on the seas and robbs us of our merchants ware king henery was stout and he turned him about and swore by the lord that was mickle of might i thought he had not beene in the world throughout that durst haue wrought england such unright but ever they sighed and said alas unto king harry this answere againe he is a proud scott that will robb us all if wee were twenty shipps and hee but one the king looket ouer his left shoulder amongst his lords and barrons soe ffree have i never lord in all my realme will ffeitch yond traitor unto mee yes that dare i sayes my lord charles haward neere to the king wheras hee did stand if that your grace will give me leave my selfe will be the only man thou shult have six hundred men saith our king and chuse them out of my realme soe ffree besids marriners and boyes to guide the great shipp on the sea ile goe speake with sir andrew sais charles my lord haward upon the sea if he be there i will bring him and his shipp to shore or before my prince i will never come neer the ffirst of all my lord did call a noble gunner hee was one this man was three score yeeres and ten anr peeter simon was his name peeter sais hee i must sayle the sea to seeke out an enemye god be my speed before all others i have chosen thee of a hundred gunners thoust be my head my lord sais hee if you have chosen mee of a hundred gunners to be the head hange me att your maine mast tree if i misse my marke past three pence bread the next of all my lord he did call a noble bowman hee was one in yorekeshire was this gentleman borne and william horsley was his name horsley sayes hee i must sayle to the sea to seeke out an enemye god be my speede before all others i have chosen thee of a hundred bowemen thoust be my head my lord sais he if you haue chosen mee of a hundred bowemen to be the head hang me att your mainemast tree if i misse my marke past twelve pence bread with pikes and gunnes and bowemen bold this noble haward is gone to the sea on the day before midsummer even and out att thames mouth sayled they they had not sayled dayes three upon their journey they tooke in hand but there they mett with a noble shipp and stoutely made itt both stay and stand thou must tell me thy name sais charles my lord haward or who thou art or ffrom whence thou came yea and where thy dwelling is to whom and where thy shipp does belong my name says hee is henery hunt with a pure hart and a penitent mind i and my shipp they doe belong unto the new castle that stands vpon tine now thou must tell me harry hunt as thou hast sayled by day and by night hast thou not heard of a stout robber men calls him sir andrew bartton knight but ever he sighed and sayd alas ffull well my lord i know that wight he robd me of my merchants ware and i was his prisoner but yesternight as i was sayling upon the sea and a burdeaux voyage as i did ffare he clasped me to his archborde and robd me of all my merchantsware and i am a man both poore and bare and every man will have his owne of me and i am bound towards london to ffare to complaine to my prince henerye that shall not need sais my lord haward if thou canst lett me this robber see ffor euery peny he hath taken thee ffroe thou shalt be rewarded a shilling quoth hee now god fforefend sais henery hunt my lord you shold worke soe ffarr amisse god keepe you out of that traitors hands for you wott ffull litle what a man hee is hee is brasse within and steele without and beames hee beares in his topcastle stronge his shipp hath ordinance cleane round about besids my lord hee is verry well mand he hath a pinnace is deerlye dight saint andrews crosse that is his guide his pinnace beares nine score men and more besids fifteen cannons on euery side if you wvere twenty shippes and he but one either in archboard or in hall he would overcome you everye one and if his beames they doe downe ffall this is cold comfort sais my lord haward to wellcome a stranger thus to the sea i ll bring him and his shipp to shore or else into scottland hee shall carrye mee then you must gett a noble gunner my lord that can sett well with his eye and sinke his pinnace into the sea and soone then overcome will hee bee and when that you haue done this if you chance sir andrew for to bord lett no man to his topcastle goe and i will giue you a glasse my lord and then you need to ffeare no scott whether you sayle by day or by night and to morrow by seven of the clocke you shall meete with sir andrew barton knight i was his prisoner but yesternight and he hath taken mee sworne quoth hee i trust my lord god will me fforgive and if that oath then broken bee you must lend me sixe peeces my lord quoth hee into my shipp to sayle the sea and tomorrow by nine of the clocke your honour againe then will i see and the hache bord where sir andrew lay is hached with gold deerlye dight now by my ffaith sais charles my lord haward then yonder scott is a worthye wight take in your ancyents and your standards yea that no man shall them see and put me fforth a white willow wand as merchants use to sayle the sea but they stirred neither top nor mast but sir andrew they passed by whatt english are yonder said sir andrew that can so litle curtesye i have beene admirall over the sea more then these yeeres three there is never an english dog nor portingall can passe this way without leave of me but now yonder pedlers they are past which is no litle greffe to me ffeich them backe sayes sir andrew barton they shall all hang att my maine mast tree with that the pinnace itt shott of that my lord haward might it well ken itt stroke downe my lords fforemast and killed fourteen of my lord his men come hither simon sayes my lord haward looke that thy words be true thou sayed i ll hang thee att my main mast tree if thou misse thy marke past twelve pence bread simon was old but his hart itt was bold hee tooke downe a peece and layd itt ffull lowe he put in chaine yeards nine besids other great shott lesse and more with that hee lett his gun shott goe soe well hee settled itt with his eye the ffirst sight that sir andrew sawe hee see his pinnace sunke in the sea when hee saw his pinnace sunke lord in his hart hee was not well cutt my ropes itt is time to be gon i le goe ffeitch yond pedlers backe my selfe when my lord haward saw sir andrew loose lord in his hart that hee was ffaine strike on your drummes spread out your ancyents sound out your trumpetts sound out amaine ffight on my men sais sir andrew bartton weate howsoever this geere will sway itt is my lord admirall of england is come to seeke mee on the sea simon had a sonne with shott of a gunn well sir andrew might itt ken he shott itt in att a priuye place and killed sixty more of sir andrews men harry hunt came in att the other syde and att sir andrew hee shott then he drove downe his fformast tree and killed eighty more of sir andrews men i have done a good turne sayes harry hunt sir andrew is not our kings ffriend he hoped to haue undone me yesternight but i hope i have quitt him well in the end ever alas sayd sir andrew barton what shold a man either thinke or say yonder ffalse theeffe is my strongest enemye who was my prisoner but yesterday come hither to me thou gourden good and be thou readye att my call and i will give thee three hundred pound if thou wilt lett my beames down ffall with that hee swarved the maine mast tree soe did he itt with might and maine horseley with a bearing arrow stroke the gourden through the braine and he ffell into the haches againe and sore of this wound that he did bleed there word went through sir andrews men that the gourden hee was dead comie hither to me james hambliton thou are my sisters sonne i have no more i will give thee six hundred pound if thou will lett my beames downe ffall with that hee swarved the maine mast tree soe did hee itt with might and maine horseley with another broad arrow strike the yeaman through the braine that hee ffell downe to the haches againe sore of his wound that hee did bleed covetousness getts no gaine itt is verry true as the welchman sayd but when hee saw his sisters sonne slaine lord in his heart hee was not well goe ffeitch me downe my armour of prooffe for i will to the topcastle my selfe goe ffeitch me downe my armour of prooffe for it is guilded with gold soe cleare god be with my brother john of bartton amongst the portingalls hee did itt weare but when hee had his armour of prooffe and on his body hee had itt on every man that looked att him sayd gunn nor arrow he neade feare none come hither horsley sayes my lord haward and looke your shaft that itt goe right shoot a good shoote in the time of need and ffor thy shooting thoust be made a knight i le doe my best sayes horsley then your honor shall see beffore i goe if i shold be hanged att your mainemast i have in my shipp but arrowes tow but att sir andrew hee shott then hee mede sure to hitt his marke vnder the spole of his right arme hee smote sir andrew quite through the hart yett ffrom the tree hee wold not start but hee clinged to itt with might and maine vnder the coller then of his jacke he stroke sir andrew thorrow the braine ffight on my men sayes sir andrew barton i arm hurt but i am not slaine i le lay mee downe and bleed a while and then i le rise and ffight againe ffight on my men sayes sir andrew bartton these english doggs they bite soe lowe ffight on ffor scottland and saint andew till you heare my whistle blowe but when they cold not heare his whistle blow sayes harry hunt i le lay my head you may bord yonder noble shipp my lord for i know sir andrew hee is dead with that they borded this noble shipp soe did they itt with might and maine the ffound eighteen score scotts alive besids the rest were maimed and slaine my lord haward tooke a sword in his hand and smote off sir andrews head the scotts stood by did weepe and mourne but never a word durst speake or say he caused his body to be taken downe and ouer the hatch bord cast into the sea and about his middle three hundred crownes whersoever thou lands it will bury thee with his head they sayled into england againe with right good will and fforce and main and the day beffore newyeeres even into thames mouth they came againe my lord haward wrote to king heneryes grace with all the newes hee cold him bring such a newyeeres gifft i have brought to your grace as neuer did subject to any king ffor merchandyes and manhood the like is nott to be ffound the sight of these wold doe you good ffor you haue not the like in your english ground but when hee heard tell that they were come full royally hee welcomed them home sir andrew s shipp was the kings newyeeres guifft a braver shipp you never saw none now hath our king sir andrews shipp besett with pearles and precyous stones now hath england two shipps of warr two shipps of warr before but one who holpe to this sayes king henerye that i may reward him ffor his paine harry hunt and peeter simon william horseleay and i the same harry hunt shall haue his whistle and chain and all his jewells whatsoever they be and other rich giffts that i will not name for his good service he hath done horslay right thoust be a knight lands and livings thou shalt have store haward shall be erle of nottingham and soe was never haward before now peeter simon thou art old i will maintaine thee and thy sonne thou shalt have five hundred pound all in gold for the good service that thou hast done then king henerye shiffted his roome in came the queene and ladyes bright other arrands they had none but to see sir andrew bartton knight but when they see his deadly fface his eyes were hollow in his head i wold give a hundred pound sais king henry the man were alive as hee is dead yett for the manfull part that hee hath playd both heere and beyond the sea his men shall have halfe a crowne a day to bring them to my brother king jamye
23,les filles de la rochelle,ah la feuille s envole s envole ah la feuille s envole au vent sont les filles de la rochelle ont arm un b timent pour aller faire la course dedans les les du levant la grande vergue est en ivoire les poulies en diamant la grande voile est en dentelle la misaine en satin blanc les cordages du navire sont des fils d or et d argent et la coque est en bois rouge travaill fort proprement l quipage du navire c est toutes des filles de quinze ans le capitaine qui les commande est le roi des bons enfants hier faisant sa promenade dessus le gaillard d avant aper u une brunette qui pleurait dans les haubans qu avez vous jeune brunette qu avez vous pleurer tant avez vous perdu p re et m re o quelqu un de vos parents j ai perdu la rose blanche qui s en fut la voile au vent elle est partie vent arri re reviendraz en louvoyant
24,haul on the bowline,you can download this sone see the roger chartier cd s and downloads with samples to hear haul on the bowline kitty she s my darling haul on the bowline bowline haul a short drag shantycourtesy of www sailorsongs comhaul on the bowline kitty she s my darling haul on the bowline bow line haul haul on the bowline kitty she s a lovely girl haul on the bowline bow line haul the bully bully bowline so early in the morning lazzet is a pretty girl oh haul away together the long tailed bowline my stomach is so very fat
